JoinField,mean_turnout_1r,std_turnout_1r,cv_turnout_1r,n_cycles_1r,mean_turnout_ro,std_turnout_ro,cv_turnout_ro,n_cycles_ro
CITY OF CHICAGO:Ward 05 Precinct 06,262.9915188897456,2.7083614462145014,0.010298284361595451,3,289.1683371883834,26.9925717988593,0.09334553036238732,3
CITY OF CHICAGO:Ward 05 Precinct 07,198.53501280081926,74.96390253771747,0.37758530085030995,3,215.9404915514593,81.55918470935926,0.37769287326977974,3
CITY OF CHICAGO:Ward 05 Precinct 08,175.2177777777778,9.996313394521072,0.05705079428183951,3,188.75555555555556,6.544661381048875,0.03467268214589114,3
CITY OF CHICAGO:Ward 05 Precinct 09,153.7680770698504,4.584057979529835,0.029811506177888206,3,168.26479412474785,7.942579814577578,0.04720286175068281,3
CITY OF CHICAGO:Ward 05 Precinct 10,293.624833615814,89.02469023684897,0.30319196486401784,3,328.901259702751,91.47149214122399,0.27811231925317825,3
CITY OF CHICAGO:Ward 05 Precinct 11,391.12918914889497,48.58937350901064,0.12422845151174246,3,439.4331580014896,65.04301976340001,0.14801573021756254,3
CITY OF CHICAGO:Ward 05 Precinct 12,674.7980247685005,85.82280478822,0.12718295199169083,3,720.6708931066504,46.79987012648574,0.06493930943255112,3
CITY OF CHICAGO:Ward 05 Precinct 13,275.2416338836235,5.218909594511012,0.0189611924652273,3,291.6966692617215,24.88522677746703,0.08531200181493688,3
CITY OF CHICAGO:Ward 05 Precinct 14,317.6666666666667,29.143323992525858,0.09174183838150847,3,340.3333333333333,27.15388247255507,0.0797861385089767,3
CITY OF CHICAGO:Ward 05 Precinct 15,885.4402167646721,103.3350778864883,0.11670474858716767,3,960.9014800221242,68.51783477123432,0.07130578544811558,3
CITY OF CHICAGO:Ward 05 Precinct 16,530.6666666666666,74.54081655934105,0.1404663628630799,3,563.0,60.753600716336145,0.10791048084606775,3
CITY OF CHICAGO:Ward 05 Precinct 17,414.70800341994726,43.464783876011026,0.10480816265317437,3,444.146311030946,19.91433194653049,0.044837323764562245,3
CITY OF CHICAGO:Ward 05 Precinct 18,777.0947176684882,88.63031001625308,0.11405341974549765,3,849.5209471766848,45.23430342006451,0.053246837020790506,3
CITY OF CHICAGO:Ward 05 Precinct 19,359.6666666666667,46.60829682935575,0.1295874795996916,3,439.0,26.153393661244042,0.05957492861331217,3
CITY OF CHICAGO:Ward 05 Precinct 20,551.0646551948149,76.2060723881401,0.13828880453455933,3,626.500286954937,40.406976691679745,0.06449634187411975,3
